"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2019","6,470.00","6,470.00","6,470.00","6,470.00","","-0.03%"
"12/17/2019","6,472.24","6,472.24","6,472.24","6,472.24","","0.03%"
"12/16/2019","6,470.03","6,470.03","6,470.03","6,470.03","","0.72%"
"12/13/2019","6,423.93","6,423.93","6,423.93","6,423.93","","0.02%"
"12/12/2019","6,422.35","6,422.35","6,422.35","6,422.35","","0.87%"
"12/11/2019","6,366.84","6,366.84","6,366.84","6,366.84","","0.29%"
"12/10/2019","6,348.31","6,348.31","6,348.31","6,348.31","","-0.11%"
"12/09/2019","6,355.07","6,355.07","6,355.07","6,355.07","","-0.31%"
"12/06/2019","6,374.70","6,374.70","6,374.70","6,374.70","","0.92%"
"12/05/2019","6,316.69","6,316.69","6,316.69","6,316.69","","0.18%"
"12/04/2019","6,305.49","6,305.49","6,305.49","6,305.49","","0.64%"
"12/03/2019","6,265.22","6,265.22","6,265.22","6,265.22","","-0.66%"
"12/02/2019","6,306.88","6,306.88","6,306.88","6,306.88","","-0.86%"
"11/29/2019","6,361.56","6,361.56","6,361.56","6,361.56","","-0.38%"
"11/27/2019","6,385.76","6,385.76","6,385.76","6,385.76","","0.43%"
"11/26/2019","6,358.46","6,358.46","6,358.46","6,358.46","","0.22%"
"11/25/2019","6,344.36","6,344.36","6,344.36","6,344.36","","0.76%"
"11/22/2019","6,296.34","6,296.34","6,296.34","6,296.34","","0.22%"
"11/21/2019","6,282.59","6,282.59","6,282.59","6,282.59","","-0.15%"
"11/20/2019","6,292.17","6,292.17","6,292.17","6,292.17","","-0.36%"
"11/19/2019","6,314.66","6,314.66","6,314.66","6,314.66","","-0.05%"
"11/18/2019","6,318.02","6,318.02","6,318.02","6,318.02","","0.05%"
"11/15/2019","6,314.74","6,314.74","6,314.74","6,314.74","","0.79%"
"11/14/2019","6,265.42","6,265.42","6,265.42","6,265.42","","0.11%"
"11/13/2019","6,258.58","6,258.58","6,258.58","6,258.58","","0.07%"
"11/12/2019","6,253.91","6,253.91","6,253.91","6,253.91","","0.16%"
"11/11/2019","6,243.81","6,243.81","6,243.81","6,243.81","","-0.20%"
"11/08/2019","6,256.11","6,256.11","6,256.11","6,256.11","","0.27%"
"11/07/2019","6,238.99","6,238.99","6,238.99","6,238.99","","0.32%"
"11/06/2019","6,219.10","6,219.10","6,219.10","6,219.10","","0.08%"
"11/05/2019","6,214.28","6,214.28","6,214.28","6,214.28","","-0.12%"
"11/04/2019","6,221.63","6,221.63","6,221.63","6,221.63","","0.37%"
"11/01/2019","6,198.59","6,198.59","6,198.59","6,198.59","","0.98%"
"10/31/2019","6,138.73","6,138.73","6,138.73","6,138.73","","-0.30%"
"10/30/2019","6,156.93","6,156.93","6,156.93","6,156.93","","0.33%"
"10/29/2019","6,136.47","6,136.47","6,136.47","6,136.47","","-0.08%"
"10/28/2019","6,141.51","6,141.51","6,141.51","6,141.51","","0.56%"
"10/25/2019","6,107.42","6,107.42","6,107.42","6,107.42","","0.41%"
"10/24/2019","6,082.54","6,082.54","6,082.54","6,082.54","","0.19%"
"10/23/2019","6,070.87","6,070.87","6,070.87","6,070.87","","0.29%"
"10/22/2019","6,053.42","6,053.42","6,053.42","6,053.42","","-0.35%"
"10/21/2019","6,074.90","6,074.90","6,074.90","6,074.90","","0.69%"
"10/18/2019","6,033.26","6,033.26","6,033.26","6,033.26","","-0.39%"
"10/17/2019","6,056.84","6,056.84","6,056.84","6,056.84","","0.28%"
"10/16/2019","6,039.69","6,039.69","6,039.69","6,039.69","","-0.19%"
"10/15/2019","6,051.39","6,051.39","6,051.39","6,051.39","","1.00%"
"10/14/2019","5,991.72","5,991.72","5,991.72","5,991.72","","-0.14%"
"10/11/2019","6,000.04","6,000.04","6,000.04","6,000.04","","1.10%"
"10/10/2019","5,934.56","5,934.56","5,934.56","5,934.56","","0.64%"
"10/09/2019","5,896.60","5,896.60","5,896.60","5,896.60","","0.94%"
"10/08/2019","5,841.57","5,841.57","5,841.57","5,841.57","","-1.55%"
"10/07/2019","5,933.76","5,933.76","5,933.76","5,933.76","","-0.45%"
"10/04/2019","5,960.43","5,960.43","5,960.43","5,960.43","","1.42%"
"10/03/2019","5,876.86","5,876.86","5,876.86","5,876.86","","0.82%"
"10/02/2019","5,828.93","5,828.93","5,828.93","5,828.93","","-1.79%"
"10/01/2019","5,935.20","5,935.20","5,935.20","5,935.20","","-1.22%"
"09/30/2019","6,008.59","6,008.59","6,008.59","6,008.59","","0.51%"
"09/27/2019","5,978.11","5,978.11","5,978.11","5,978.11","","-0.52%"
"09/26/2019","6,009.19","6,009.19","6,009.19","6,009.19","","-0.24%"
"09/25/2019","6,023.46","6,023.46","6,023.46","6,023.46","","0.62%"
"09/24/2019","5,986.58","5,986.58","5,986.58","5,986.58","","-0.83%"
"09/23/2019","6,036.90","6,036.90","6,036.90","6,036.90","","-0.01%"
"09/20/2019","6,037.50","6,037.50","6,037.50","6,037.50","","-0.48%"
"09/19/2019","6,066.90","6,066.90","6,066.90","6,066.90","","0.01%"
"09/18/2019","6,066.42","6,066.42","6,066.42","6,066.42","","0.03%"
"09/17/2019","6,064.31","6,064.31","6,064.31","6,064.31","","0.26%"
"09/16/2019","6,048.67","6,048.67","6,048.67","6,048.67","","-0.31%"
"09/13/2019","6,067.50","6,067.50","6,067.50","6,067.50","","-0.04%"
"09/12/2019","6,070.23","6,070.23","6,070.23","6,070.23","","0.30%"
"09/11/2019","6,051.87","6,051.87","6,051.87","6,051.87","","0.73%"
"09/10/2019","6,008.12","6,008.12","6,008.12","6,008.12","","0.04%"
"09/09/2019","6,005.99","6,005.99","6,005.99","6,005.99","","0.00%"
"09/06/2019","6,006.07","6,006.07","6,006.07","6,006.07","","0.09%"
"09/05/2019","6,000.38","6,000.38","6,000.38","6,000.38","","1.32%"
"09/04/2019","5,921.96","5,921.96","5,921.96","5,921.96","","1.09%"
"09/03/2019","5,857.95","5,857.95","5,857.95","5,857.95","","-0.68%"
"08/30/2019","5,898.23","5,898.23","5,898.23","5,898.23","","0.08%"
"08/29/2019","5,893.65","5,893.65","5,893.65","5,893.65","","1.29%"
"08/28/2019","5,818.84","5,818.84","5,818.84","5,818.84","","0.66%"
"08/27/2019","5,780.79","5,780.79","5,780.79","5,780.79","","-0.32%"
"08/26/2019","5,799.34","5,799.34","5,799.34","5,799.34","","1.11%"
"08/23/2019","5,735.63","5,735.63","5,735.63","5,735.63","","-2.59%"
"08/22/2019","5,888.37","5,888.37","5,888.37","5,888.37","","-0.05%"
"08/21/2019","5,891.19","5,891.19","5,891.19","5,891.19","","0.83%"
"08/20/2019","5,842.76","5,842.76","5,842.76","5,842.76","","-0.78%"
"08/19/2019","5,888.93","5,888.93","5,888.93","5,888.93","","1.22%"
"08/16/2019","5,818.17","5,818.17","5,818.17","5,818.17","","1.46%"
"08/15/2019","5,734.49","5,734.49","5,734.49","5,734.49","","0.27%"
"08/14/2019","5,719.30","5,719.30","5,719.30","5,719.30","","-2.90%"
"08/13/2019","5,890.16","5,890.16","5,890.16","5,890.16","","1.48%"
"08/12/2019","5,804.25","5,804.25","5,804.25","5,804.25","5.80K","-1.18%"
"08/09/2019","5,873.47","5,873.47","5,873.47","5,873.47","","-0.65%"
"08/08/2019","5,911.66","5,911.66","5,911.66","5,911.66","","1.90%"
"08/07/2019","5,801.32","5,801.32","5,801.32","5,801.32","","0.08%"
"08/06/2019","5,796.72","5,796.72","5,796.72","5,796.72","","1.31%"
"08/05/2019","5,721.80","5,721.80","5,721.80","5,721.80","","-2.97%"
"08/02/2019","5,897.10","5,897.10","5,897.10","5,897.10","","-0.72%"
"08/01/2019","5,939.83","5,939.83","5,939.83","5,939.83","","-0.89%"
"07/31/2019","5,993.17","5,993.17","5,993.17","5,993.17","","-1.09%"
"07/30/2019","6,058.96","6,058.96","6,058.96","6,058.96","","-0.25%"
"07/29/2019","6,074.01","6,074.01","6,074.01","6,074.01","","-0.16%"
"07/26/2019","6,083.82","6,083.82","6,083.82","6,083.82","","0.74%"
"07/25/2019","6,039.13","6,039.13","6,039.13","6,039.13","","-0.53%"
"07/24/2019","6,071.05","6,071.05","6,071.05","6,071.05","","0.47%"
"07/23/2019","6,042.48","6,042.48","6,042.48","6,042.48","","0.69%"
"07/22/2019","6,001.28","6,001.28","6,001.28","6,001.28","","0.29%"
"07/19/2019","5,984.20","5,984.20","5,984.20","5,984.20","","-0.61%"
"07/18/2019","6,021.15","6,021.15","6,021.15","6,021.15","","0.37%"
"07/17/2019","5,999.05","5,999.05","5,999.05","5,999.05","","-0.65%"
"07/16/2019","6,038.40","6,038.40","6,038.40","6,038.40","","-0.34%"
"07/15/2019","6,058.83","6,058.83","6,058.83","6,058.83","","0.02%"
"07/12/2019","6,057.77","6,057.77","6,057.77","6,057.77","","0.47%"
"07/11/2019","6,029.33","6,029.33","6,029.33","6,029.33","","0.23%"
"07/10/2019","6,015.56","6,015.56","6,015.56","6,015.56","","0.45%"
"07/09/2019","5,988.48","5,988.48","5,988.48","5,988.48","","0.15%"
"07/08/2019","5,979.34","5,979.34","5,979.34","5,979.34","","-0.48%"
"07/05/2019","6,008.31","6,008.31","6,008.31","6,008.31","","-0.17%"
"07/03/2019","6,018.54","6,018.54","6,018.54","6,018.54","","0.79%"
"07/02/2019","5,971.29","5,971.29","5,971.29","5,971.29","","0.30%"
"07/01/2019","5,953.63","5,953.63","5,953.63","5,953.63","","0.77%"
"06/28/2019","5,908.25","5,908.25","5,908.25","5,908.25","","0.58%"
"06/27/2019","5,874.15","5,874.15","5,874.15","5,874.15","","0.40%"
"06/26/2019","5,850.90","5,850.90","5,850.90","5,850.90","","-0.12%"
